key,value,os_process,pid,name,status,create_time,cpu_usage,cpu_cores,memory,user,device,mountpoint,filesystem,usage_total,usage_used,usage_free,usage_percent,gpu_id,gpu_name,gpu_usage,gpu_free,gpu_used,gpu_total,gpu_temp,if_name,if_address,if_netmask,if_broadcast
node,LPT-Dragback,,,,,,,,,,,,,,,,,,,,,,,,,,,
os_system,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,
os_rel,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
os_ver,10.0.18362,,,,,,,,,,,,,,,,,,,,,,,,,,,
os_bootTime,1618746155.528635,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_started,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_total,25410252800,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_avail,19765268480,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_used,5644984320,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_perc,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_Stotal,29168349184,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_Sfree,22463979520,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_Sused,6704369664,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_Sperc,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
disk_read,42020058624,,,,,,,,,,,,,,,,,,,,,,,,,,,
disk_write,42358380544,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_machine,AMD64,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_name,"Intel64 Family 6 Model 60 Stepping 3, GenuineIntel",,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_realCores,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_logiCores,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_frqMax,2801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_frqCur,2801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_usage,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
if_sent,567174,,,,,,,,,,,,,,,,,,,,,,,,,,,
if_rec,10654978,,,,,,,,,,,,,,,,,,,,,,,,,,,
core 1,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
core 1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
core 1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
core 1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
core 1,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
core 1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
core 1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
core 1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
proc System,,False,4,System,running,1970-01-01 01:00:00,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc Registry,,False,120,Registry,running,2021-04-18 13:42:52.645525,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc python.exe,,False,144,python.exe,running,2021-04-22 09:09:39.888131,0.0,8,9445376,LPT-DRAGBACK\Dragback,,,,,,,,,,,,,,,,,,
proc smss.exe,,False,488,smss.exe,running,2021-04-18 13:43:01.563147,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,508,svchost.exe,running,2021-04-18 13:43:11.618066,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,524,svchost.exe,running,2021-04-18 13:43:07.824524,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,540,svchost.exe,running,2021-04-18 13:43:07.810288,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc fontdrvhost.exe,,False,568,fontdrvhost.exe,running,2021-04-18 13:43:07.830292,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc csrss.exe,,False,736,csrss.exe,running,2021-04-18 13:43:06.673346,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc wininit.exe,,False,848,wininit.exe,running,2021-04-18 13:43:07.482758,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc services.exe,,False,920,services.exe,running,2021-04-18 13:43:07.588355,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc lsass.exe,,False,928,lsass.exe,running,2021-04-18 13:43:07.616949,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc python.exe,,False,1080,python.exe,running,2021-04-22 09:09:40.157204,0.0,8,26812416,LPT-DRAGBACK\Dragback,,,,,,,,,,,,,,,,,,
proc WUDFHost.exe,,False,1084,WUDFHost.exe,running,2021-04-18 13:43:08.444194,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc RuntimeBroker.exe,,False,1116,RuntimeBroker.exe,running,2021-04-22 07:29:50.324744,0.0,8,4804608,LPT-DRAGBACK\Dragback,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,1148,svchost.exe,running,2021-04-18 13:43:08.473819,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,1204,svchost.exe,running,2021-04-18 13:43:08.833905,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,1224,svchost.exe,running,2021-04-18 13:43:08.520141,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,1452,svchost.exe,running,2021-04-18 13:43:08.685330,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,1460,svchost.exe,running,2021-04-18 13:43:08.685548,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,1492,svchost.exe,running,2021-04-18 13:43:08.687317,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,1596,svchost.exe,running,2021-04-18 13:43:08.708864,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,1628,svchost.exe,running,2021-04-18 13:43:08.717164,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,1640,svchost.exe,running,2021-04-18 13:43:08.717866,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,1736,svchost.exe,running,2021-04-18 13:43:08.843620,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,1784,svchost.exe,running,2021-04-18 13:43:08.750762,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,1812,svchost.exe,running,2021-04-18 13:43:08.760108,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,1824,svchost.exe,running,2021-04-18 13:43:08.762164,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,1840,svchost.exe,running,2021-04-18 13:43:08.764345,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,1928,svchost.exe,running,2021-04-18 13:43:08.793226,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc SearchIndexer.exe,,False,2044,SearchIndexer.exe,running,2021-04-18 13:44:54.460222,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,2128,svchost.exe,running,2021-04-18 13:43:08.887288,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,2136,svchost.exe,running,2021-04-18 13:43:08.887553,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,2284,svchost.exe,running,2021-04-18 13:43:08.944649,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,2296,svchost.exe,running,2021-04-18 13:44:55.788347,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,2392,svchost.exe,running,2021-04-18 13:43:09.026512,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,2424,svchost.exe,running,2021-04-18 13:43:09.044487,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
